AOI_ID,FCOVER_cell_id,block_col,block_crs,block_id,block_row,block_size_m,cell_center_lat,cell_center_lon,cell_center_x_m,cell_center_y_m,cell_col,cell_row,development_reserve_assignment
AOI-00,AOI-00_r0000_c0110,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.64285714412785,556324.8915568788,4222851.379814643,110,0,reserve
AOI-00,AOI-00_r0000_c0111,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.64583333460405,556585.6575801895,4222853.191471771,111,0,reserve
AOI-00,AOI-00_r0000_c0112,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.64880952508025,556846.4236400365,4222855.011497804,112,0,reserve
AOI-00,AOI-00_r0000_c0113,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.65178571555646,557107.1897365903,4222856.83989275,113,0,reserve
AOI-00,AOI-00_r0000_c0114,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.65476190603266,557367.955870018,4222858.676656625,114,0,reserve
AOI-00,AOI-00_r0000_c0115,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.65773809650887,557628.722040488,4222860.521789444,115,0,reserve
AOI-00,AOI-00_r0000_c0116,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.66071428698507,557889.4882481686,4222862.375291219,116,0,reserve
AOI-00,AOI-00_r0000_c0117,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.66369047746127,558150.254493228,4222864.237161965,117,0,reserve
AOI-00,AOI-00_r0000_c0118,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.66666666793748,558411.0207758347,4222866.107401693,118,0,reserve
AOI-00,AOI-00_r0000_c0119,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.66964285841368,558671.7870961567,4222867.986010419,119,0,reserve
AOI-00,AOI-00_r0000_c0120,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.67261904888989,558932.5534543627,4222869.872988158,120,0,reserve
AOI-00,AOI-00_r0000_c0121,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.67559523936609,559193.3198506195,4222871.7683349205,121,0,reserve
AOI-00,AOI-00_r0000_c0122,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.6785714298423,559454.0862850979,4222873.672050723,122,0,reserve
AOI-00,AOI-00_r0000_c0123,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.6815476203185,559714.852757965,4222875.584135578,123,0,reserve
AOI-00,AOI-00_r0000_c0124,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.6845238107947,559975.619269389,4222877.504589502,124,0,reserve
AOI-00,AOI-00_r0000_c0125,7,EPSG:32647,AOI-00_b_7_5,5,5000,38.151785714295215,99.6875000012709,560236.3858195383,4222879.433412507,125,0,development
AOI-00,AOI-00_r0000_c0126,7,EPSG:32647,AOI-00_b_7_5,5,5000,38.151785714295215,99.69047619174711,560497.1524085811,4222881.370604607,126,0,development
AOI-00,AOI-00_r0000_c0127,7,EPSG:32647,AOI-00_b_7_5,5,5000,38.151785714295215,99.69345238222331,560757.9190366858,4222883.316165818,127,0,development
