AOI,sensor,rolling_id,target_year,history_length,primary_n,primary_target_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_target_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_target_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_target_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,matched_n,retention_fraction,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched,delta_slope_operational,delta_slope_matched,delta_intercept_operational,delta_intercept_matched
AOI-00,modis,R2025-H2,2025,2,20256,20256,0.0400221940366738,0.0314987315064868,-0.0085921556943929,0.8349875435965004,0.9189381442753424,0.958794174558208,-0.0965155756754545,18641,18641,0.0423814986103728,0.0330424066343567,-0.0055904452425919,0.8116694455252969,0.9039382033914632,0.9231765083984462,-0.0700594549969086,18641,18641,0.0403352986023342,0.0317362395475535,-0.0089799702529822,0.8294158329599023,0.9164204100718226,0.9592098114556422,-0.0968170785669584,18641,18641,0.0423814986103728,0.0330424066343567,-0.0055904452425919,0.8116694455252969,0.9039382033914632,0.9231765083984462,-0.0700594549969086,18641,0.9202705371248026,0.0023593045736989976,0.0020462000080385956,0.0015436751278699035,0.0013061670868032005,0.0030017104518009997,0.0033895250103902997,-0.03561766615976181,-0.03603330305719599,0.0264561206785459,0.026757623570049793
AOI-00,modis,R2025-H3,2025,3,20256,20256,0.0395079324646098,0.0311795790203667,-0.0065798299092691,0.8392009241772134,0.9189381442753416,0.9752383787223315,-0.1057153983201129,18641,18641,0.0423813599278264,0.0329399323498866,-0.0065957525893229,0.811670678049817,0.903938203391462,0.9413932783163944,-0.0834524032073679,18641,18641,0.0401299951123111,0.0315565053919577,-0.0087145965590294,0.8311479335093583,0.9164204100718236,0.978420488071424,-0.1095924835667274,18641,18641,0.0423813599278264,0.0329399323498866,-0.0065957525893229,0.811670678049817,0.903938203391462,0.9413932783163944,-0.0834524032073679,18641,0.9202705371248026,0.002873427463216602,0.0022513648155153,0.0017603533295198967,0.001383426957928896,-1.592268005380041e-05,0.0021188439697065005,-0.033845100405937134,-0.0370272097550296,0.022262995112745,0.02614008035935951
AOI-00,sentinel2,R2024-H1,2024,1,15819,15819,0.0619587970420514,0.0483820572791955,0.001209594369721,0.5533298137635385,0.7591731831827759,0.707277333121073,0.1106327498096276,8101,8101,0.0639527993636913,0.0504870588248307,0.0065738078385262,0.5266355099523556,0.7400748336675737,0.6734580700077741,0.1333545988857463,8101,8101,0.0635110226824035,0.0497193982538414,0.0037848327678427,0.5331527884880158,0.7449942048303444,0.6992721558332868,0.1162379140169003,8101,8101,0.0639527993636913,0.0504870588248307,0.0065738078385262,0.5266355099523556,0.7400748336675737,0.6734580700077741,0.1333545988857463,8101,0.5121056956824073,0.001994002321639904,0.0004417766812878088,0.002105001545635199,0.0007676605709893009,0.0053642134688052,0.0027889750706835,-0.03381926311329886,-0.0258140858255127,0.022721849076118697,0.017116684868846002
AOI-00,sentinel2,R2024-H2,2024,2,15819,15819,0.0616251519768803,0.0482686752266148,0.0021346058500921,0.5581274551887887,0.7591706043119126,0.6930856764475416,0.1197604872931187,8101,8101,0.0638539209006433,0.0505515394288713,0.0093999981186249,0.5280981314572554,0.7400577505649322,0.6499712055659811,0.1496767472984079,8101,8101,0.0631959258009191,0.0495624505281272,0.0044306065201122,0.53777363022117,0.7449873027554681,0.6835517013062149,0.1259054151849636,8101,8101,0.0638539209006433,0.0505515394288713,0.0093999981186249,0.5280981314572554,0.7400577505649322,0.6499712055659811,0.1496767472984079,8101,0.5121056956824073,0.0022287689237630026,0.0006579950997242096,0.0022828642022564988,0.0009890889007440964,0.007265392268532799,0.0049693915985126996,-0.04311447088156051,-0.03358049574023381,0.029916260005289214,0.023771332113444316
AOI-00,sentinel2,R2024-H3,2024,3,15819,15819,0.0624077720657041,0.0492384458724026,0.011376970264674,0.5468329038170205,0.759163345054446,0.6830017839337635,0.1348323905019152,8101,8101,0.067040609042033,0.0534111403032675,0.0239037622902255,0.4798214266376537,0.7400543095622985,0.6070790039874876,0.1888226104821586,8101,8101,0.0646157744903656,0.0511687206859642,0.0154234477304917,0.5167702480674474,0.7449686949689336,0.6684171770853861,0.1455850077944359,8101,8101,0.067040609042033,0.0534111403032675,0.0239037622902255,0.4798214266376537,0.7400543095622985,0.6070790039874876,0.1888226104821586,8101,0.5121056956824073,0.004632836976328901,0.002424834551667407,0.004172694430864897,0.0022424196173032943,0.012526792025551499,0.008480314559733798,-0.07592277994627594,-0.06133817309789846,0.05399021998024339,0.0432376026877227
AOI-00,sentinel2,R2025-H1,2025,1,19233,19233,0.0657804286961394,0.0536638642768462,-0.0301752875949149,0.5492768605473173,0.8066261669952048,0.5891133459720407,0.1777208634126911,12809,12809,0.0798319825140218,0.0662292313325491,-0.0458787664269048,0.364210738573093,0.7578994922621423,0.5747983935698915,0.1834641367347267,12809,12809,0.0693035233293397,0.0576113756514309,-0.0348136905596849,0.520851659876744,0.8064575898009934,0.5869177021573005,0.1769257674126263,12809,12809,0.0798319825140218,0.0662292313325491,-0.0458787664269048,0.364210738573093,0.7578994922621423,0.5747983935698915,0.1834641367347267,12809,0.6659907450735715,0.014051553817882395,0.010528459184682093,0.012565367055702902,0.008617855681118197,-0.015703478831989897,-0.0110650758672199,-0.014314952402149195,-0.012119308587409061,0.005743273322035586,0.00653836932210039
AOI-00,sentinel2,R2025-H2,2025,2,19233,19233,0.0636924625340405,0.0517376722639086,-0.0265058849489071,0.5774359597685467,0.8066261669952032,0.6589835714426353,0.138832235498326,12809,12809,0.0770719252230506,0.0633704849612775,-0.0402972454217138,0.4074134710845062,0.7579674240266432,0.6419852770970093,0.1496116379591073,12809,12809,0.0660589946920462,0.0546820665332881,-0.0293105438369862,0.5646653059445994,0.8064575898009932,0.6617374084268253,0.1371870879345237,12809,12809,0.0770719252230506,0.0633704849612775,-0.0402972454217138,0.4074134710845062,0.7579674240266432,0.6419852770970093,0.1496116379591073,12809,0.6659907450735715,0.013379462689010108,0.011012930531004411,0.011632812697368905,0.008688418427989404,-0.013791360472806699,-0.010986701584727598,-0.016998294345626053,-0.019752131329816014,0.010779402460781323,0.01242455002458362
AOI-00,sentinel2,R2025-H3,2025,3,19233,19233,0.0635190706274575,0.0515710545134839,-0.0260677225284827,0.5797335457065202,0.8066261669952041,0.6639249242787757,0.1362606145153957,12809,12809,0.0759227317183154,0.0624263001271205,-0.0382905963255622,0.4249534386598284,0.7579578034819726,0.6309323729346593,0.1581060285129427,12809,12809,0.065942539370224,0.054601719457529,-0.0290392735737895,0.5661988550170851,0.8064575898009925,0.6574934449657039,0.140024589300245,12809,12809,0.0759227317183154,0.0624263001271205,-0.0382905963255622,0.4249534386598284,0.7579578034819726,0.6309323729346593,0.1581060285129427,12809,0.6659907450735715,0.012403661090857901,0.009980192348091402,0.0108552456136366,0.007824580669591498,-0.012222873797079498,-0.009251322751772699,-0.03299255134411638,-0.02656107203104463,0.021845413997546997,0.018081439212697697
AOI-01,landsat,R2024-H1,2024,1,19872,19872,0.0011672634524432,0.000433293938395,0.0002254226880718,0.4502763445266329,0.7349565179115117,0.1095402120280271,-0.005685602641599,10862,10862,0.0011966216384227,0.0004665693732839,0.0001854765924289,0.3919945385014522,0.6814302846675994,0.0994232599591229,-0.0051166972303759,10862,10862,0.0011409569570428,0.0005067145646675,0.0002516554249593,0.447245485481654,0.7265514894865384,0.1061676874261413,-0.0055095229378458,10862,10862,0.0011966216384227,0.0004665693732839,0.0001854765924289,0.3919945385014522,0.6814302846675994,0.0994232599591229,-0.0051166972303759,10862,0.5465982286634461,2.9358185979499974e-05,5.566468137989996e-05,3.327543488889999e-05,-4.014519138359994e-05,-3.99460956429e-05,-6.61788325304e-05,-0.0101169520689042,-0.0067444274670183935,0.0005689054112231005,0.00039282570746990066
AOI-01,landsat,R2024-H2,2024,2,19872,19872,0.0011817737260908,0.0003813881692805,0.0001546346218398,0.4365241456741199,0.7452122277692741,0.0982333219489715,-0.005151154769054,10862,10862,0.001203393337067,0.0004439769653025,0.000151213000998,0.3850936445893154,0.6846400506747056,0.0936881738006664,-0.0048392043090577,10862,10862,0.0011404660050552,0.0004797506097994,0.0002147149889797,0.4477210819352204,0.7312316917309171,0.102154150765038,-0.0053307772552853,10862,10862,0.001203393337067,0.0004439769653025,0.000151213000998,0.3850936445893154,0.6846400506747056,0.0936881738006664,-0.0048392043090577,10862,0.5465982286634461,2.1619610976200037e-05,6.292733201179995e-05,6.258879602199998e-05,-3.577364449689998e-05,-3.4216208418000142e-06,-6.350198798169999e-05,-0.004545148148305103,-0.00846597696437161,0.0003119504599962998,0.0004915729462275998
