sensor,aoi,window,fold,slope,intercept,train_n,test_n,train_blocks,test_blocks,model_id,train_years,processing_hash,block_manifest_hash,verified_rmse
landsat,AOI-01,W2022_2024,5,0.13003330422491685,-0.006732090754191184,36711,8969,23,5,multi_aoi-2c09911f517b431148e3,2022;2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0007728391744323618
landsat,AOI-01,W2023,1,0.130107679409263,-0.006663876584973935,12399,3057,22,6,multi_aoi-ae4a37a750b8d9fb4be7,2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0007306263367925371
landsat,AOI-01,W2023,2,0.1344261277654007,-0.006963177212739501,12300,3156,23,5,multi_aoi-ae4a37a750b8d9fb4be7,2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0010926986921645512
landsat,AOI-01,W2023,3,0.06565094386431103,-0.003331939769872214,12429,3027,21,7,multi_aoi-ae4a37a750b8d9fb4be7,2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0028321727833951088
landsat,AOI-01,W2023,4,0.1351593921272836,-0.006982270021952808,12426,3030,23,5,multi_aoi-ae4a37a750b8d9fb4be7,2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0011155292365057396
landsat,AOI-01,W2023,5,0.1305291614758287,-0.0067010109838099696,12270,3186,23,5,multi_aoi-ae4a37a750b8d9fb4be7,2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0011256422730860467
landsat,AOI-01,W2023_2024,1,0.1345477875958311,-0.006888454087400844,24596,6311,23,5,multi_aoi-17f608c32f85b504a42a,2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.00077318138552677
landsat,AOI-01,W2023_2024,2,0.06697962898333308,-0.003380254473745331,24853,6054,21,7,multi_aoi-17f608c32f85b504a42a,2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.002642462432335116
landsat,AOI-01,W2023_2024,3,0.12687662992865734,-0.006507550767168643,24847,6060,23,5,multi_aoi-17f608c32f85b504a42a,2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0011976901142366945
landsat,AOI-01,W2023_2024,4,0.12491542062651174,-0.006348861070326834,24535,6372,23,5,multi_aoi-17f608c32f85b504a42a,2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.001100675966792237
landsat,AOI-01,W2023_2024,5,0.1203181714817125,-0.006133512046409482,24797,6110,22,6,multi_aoi-17f608c32f85b504a42a,2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0010347530166228613
landsat,AOI-01,W2024,1,0.128915189156228,-0.0065322452419537625,12296,3155,23,5,multi_aoi-0153b0621f172bff18e4,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0007732768001503824
landsat,AOI-01,W2024,2,0.06851787866422698,-0.0034389932772370935,12424,3027,21,7,multi_aoi-0153b0621f172bff18e4,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.002441022704128363
landsat,AOI-01,W2024,3,0.11751125372118475,-0.0059819074227745045,12421,3030,23,5,multi_aoi-0153b0621f172bff18e4,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0012906054631738437
landsat,AOI-01,W2024,4,0.11908979499183639,-0.0059906098129566794,12265,3186,23,5,multi_aoi-0153b0621f172bff18e4,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0010700154761852253
landsat,AOI-01,W2024,5,0.1164474153386293,-0.0058985710508847634,12398,3053,22,6,multi_aoi-0153b0621f172bff18e4,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.000950261827140516
landsat,AOI-02,W2022,1,0.9782998175465544,-0.07991786950233531,9663,2420,25,5,multi_aoi-00107429b44e2cfa94ff,2022,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,4ef3f2238e463ae841222959294750959b47274df54c0134e4c80be3a75e4891,0.049502479482901304
landsat,AOI-02,W2022,2,0.9728031814486345,-0.07564126788744008,9668,2415,24,6,multi_aoi-00107429b44e2cfa94ff,2022,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,4ef3f2238e463ae841222959294750959b47274df54c0134e4c80be3a75e4891,0.046933501289150185
