sensor,aoi,window,full_slope,full_intercept,n,model_id,fold_n,slope_fold_min,slope_fold_max,slope_fold_median,slope_fold_iqr,slope_fold_sd,intercept_fold_min,intercept_fold_max,intercept_fold_median,intercept_fold_iqr,intercept_fold_sd
sentinel2,AOI-00,W2023,0.707277333121073,0.1106327498096276,20246,multi_aoi-f5bdcc604faf5ae53d55,5,0.6763975769720958,0.7143680433836989,0.7061780641672505,0.013736977130393346,0.0154367025026332,0.10608054199202965,0.13838783950609423,0.11103445822260494,0.006004728920733615,0.013193673475509721
sentinel2,AOI-00,W2023_2024,0.6589835714426353,0.138832235498326,36065,multi_aoi-3f5bded011d4dfe87fb5,5,0.6468512340769196,0.6749269871925726,0.6544874480202889,0.00838651327648765,0.010838678178496586,0.13040931829252272,0.14783115697038407,0.1418280322798216,0.0016268638947807834,0.00635920349597869
sentinel2,AOI-00,W2024,0.5891133459720407,0.1777208634126911,15819,multi_aoi-43cbcb80b08f23ac4d98,5,0.575120016289339,0.6079847133598149,0.5816267583535125,0.009291056983411261,0.013084170529635617,0.16783148953353333,0.18983789384112004,0.18141491888136163,0.003765493672684861,0.007968783849455104
sentinel2,AOI-01,W2022,0.073623000758823,-0.0021717558867151,19878,multi_aoi-9e2f6cda3f3b3509c43d,5,0.05075782721136654,0.09398544273421874,0.09280711838945119,0.010557809235178434,0.018554983683082095,-0.0027735211108704896,-0.001489576959989319,-0.00267949754631645,0.0003072792743033107,0.0005395367943903782
sentinel2,AOI-01,W2022_2023,0.0734493219968637,-0.0022645884969966,39607,multi_aoi-affc9c6500dfef269b29,5,0.04346333758254498,0.10867376481582003,0.0912313154283745,0.020359748637879982,0.02493651378115073,-0.0033437481340485085,-0.0012785859192368475,-0.0027868432382382614,0.0006403089758467953,0.0007891240174702067
sentinel2,AOI-01,W2022_2024,0.0705736527026175,-0.002194677813068,59485,multi_aoi-f6ba22729ece71813088,5,0.03773615109463161,0.11205860416072881,0.08455356058137097,0.021526151718072414,0.027659328868265998,-0.003567417284007682,-0.0010825969924898773,-0.0025647291532468783,0.0006796891663295949,0.0009166442862510358
sentinel2,AOI-01,W2023,0.0761335147128928,-0.0024567962966337,19729,multi_aoi-3fa9a0c892e31b86d751,5,0.039048084154632054,0.11015173213908866,0.0909039872663859,0.00667776180480642,0.026566314356726125,-0.0036017283468909715,-0.00114162733085877,-0.002909775374592051,0.00014141516221772166,0.0009157146500336716
sentinel2,AOI-01,W2023_2024,0.0706220390962005,-0.0022559056859421,39607,multi_aoi-2b11925fbb1288d1b83d,5,0.03111752662416818,0.13213720546732624,0.08016233822493418,0.019010478104006412,0.036686137123532914,-0.004304291162598392,-0.0008879365256739554,-0.002477781132802321,0.0006284399727373622,0.0012391489175114605
sentinel2,AOI-01,W2024,0.0644525053410461,-0.002034170005547,19878,multi_aoi-c974b893530fad9b2ace,5,0.02357573527420638,0.12848947887255072,0.06575292035648844,0.008716916006413777,0.03755352263773519,-0.004200982107107164,-0.0006298768120138401,-0.0019992990861975113,0.000290209449468724,0.001284362868791889
sentinel2,AOI-02,W2022,0.8720815584970307,0.0049346707807029,18847,multi_aoi-3382c22fcaa13a695bc4,5,0.8513995598727876,0.8794485400420361,0.8756962262318745,0.008346803391044322,0.01138031764441353,0.001231218403255796,0.020866120883177408,0.004150641512327913,0.004247343974438933,0.008111854274945745
sentinel2,AOI-02,W2022_2023,0.8767085097180896,0.0114010673304122,26061,multi_aoi-2f9f8e5aa328bc07af30,5,0.8471903021425549,0.8875780643643321,0.8813454145859381,0.00257447342577799,0.016259055715546464,0.0042044399129838594,0.029880794673391997,0.009444839052173248,0.003373048083916641,0.009909417813861303
sentinel2,AOI-02,W2022_2024,0.8715566589278798,0.0186985409460812,43973,multi_aoi-105166673e0e35a47f2a,5,0.8475508091338702,0.8814788336259627,0.8725800268603986,0.0028870042611113256,0.012921268921215628,0.012268572983377635,0.036672557603008527,0.01761596076928784,0.001079321838106051,0.00934434088503116
sentinel2,AOI-02,W2023,0.8812162682571696,0.0317363714769487,7586,multi_aoi-6a52f20280f515104ff7,5,0.8371506771341206,0.8919581653715849,0.8840625389571617,0.014569425028959304,0.02219431516935423,0.017674490919696362,0.06372880919090351,0.03463669544746251,0.009528787441631048,0.01704883634138
