AOI,sensor,Sensor,target_year,quantile_configuration,lower_percentile,upper_percentile,NDVI_low,NDVI_high,endpoint_gap,target_evaluation_pairs,unique_target_identities,nominal_dates_pooled,low_clip_count,high_clip_count,low_clip_ratio,high_clip_ratio,total_clip_ratio,RMSE,MAE,Bias,R2,Pearson_r,n,input_source
AOI-02,sentinel2,Sentinel-2,2025,P10/P90,10,90,0.21484139412641526,0.7272167265415191,0.5123753324151039,18534,18534,3,1854,1854,0.10003237293622531,0.10003237293622531,0.20006474587245063,0.22219926802056808,0.19257082972940087,0.13926781466725696,-0.7032342666187796,0.9221847621973597,18534,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-02,landsat,Landsat 8/9,2025,P1/P99,1,99,0.1478291302919387,0.792552639245987,0.6447235089540483,7600,7600,3,75,76,0.009868421052631578,0.01,0.01986842105263158,0.21109203456999545,0.19111693803430752,0.18667518835591002,-0.904330328400681,0.9293838407852004,7600,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-02,landsat,Landsat 8/9,2025,P2/P98,2,98,0.1720369756221771,0.7797631621360779,0.6077261865139008,7600,7600,3,151,151,0.01986842105263158,0.01986842105263158,0.03973684210526316,0.21720301697196442,0.19574147158756164,0.18829461613592396,-1.0161846278679598,0.9288297808296336,7600,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-02,landsat,Landsat 8/9,2025,P5/P95,5,95,0.25010604411363596,0.7532430291175842,0.5031369850039482,7600,7600,3,380,379,0.05,0.049868421052631576,0.09986842105263158,0.2251369887091473,0.19943646223727043,0.17795907607829714,-1.1661688105268069,0.9223013479269421,7600,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-02,landsat,Landsat 8/9,2025,P10/P90,10,90,0.3731969326734543,0.729181170463562,0.35598423779010774,7600,7600,3,760,759,0.1,0.09986842105263158,0.19986842105263158,0.22913664742888595,0.1981979142393568,0.12902421116258814,-1.2438183816541417,0.8910066019551202,7600,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-02,modis,MODIS,2025,P1/P99,1,99,0.171018176972866,0.8072793000936508,0.6362611231207848,16568,16568,3,166,166,0.010019314340898117,0.010019314340898117,0.020038628681796233,0.20397915114597817,0.18630986170598415,0.18333536345147775,-0.46928696210156406,0.9587242139286205,16568,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-02,modis,MODIS,2025,P2/P98,2,98,0.19031419664621346,0.7940959286689758,0.6037817320227623,16568,16568,3,332,332,0.020038628681796233,0.020038628681796233,0.04007725736359247,0.21205741316660934,0.1928017562998411,0.18754624101551257,-0.5879688650893053,0.9585694531339655,16568,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-02,modis,MODIS,2025,P5/P95,5,95,0.24934933334589002,0.7737560331821441,0.5244066998362541,16568,16568,3,829,829,0.05003621438918397,0.05003621438918397,0.10007242877836794,0.21768495943606272,0.19529231435410208,0.17960800456687862,-0.6733697392682678,0.956262793781245,16568,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-02,modis,MODIS,2025,P10/P90,10,90,0.3546798378229141,0.749691367149353,0.3950115293264389,16568,16568,3,1657,1657,0.10001207146306132,0.10001207146306132,0.20002414292612264,0.2216002483395671,0.1944198042903867,0.14651683956162337,-0.7341056373211521,0.9398767061110846,16568,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-03,sentinel2,Sentinel-2,2025,P1/P99,1,99,0.04284177660942071,0.5620108699798576,0.5191690933704369,18857,18857,3,189,189,0.010022803203054568,0.010022803203054568,0.020045606406109136,0.20747311030282772,0.1720028710863279,0.16925277678157652,-3.1541137592256803,0.9223120313530705,18857,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-03,sentinel2,Sentinel-2,2025,P2/P98,2,98,0.05102419435977935,0.5104779601097107,0.45945376574993135,18857,18857,3,378,377,0.020045606406109136,0.01999257570133107,0.04003818210744021,0.23571827460234096,0.19273806310416555,0.1891591274621336,-4.362178377894327,0.920217065558999,18857,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-03,sentinel2,Sentinel-2,2025,P5/P95,5,95,0.06351892501115793,0.418813019990921,0.3552940949797631,18857,18857,3,943,942,0.05000795460571671,0.04995492390093864,0.09996287850665535,0.30294037042307864,0.24598303530467477,0.24045151680883076,-7.8566412694670955,0.9039728876735013,18857,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-03,sentinel2,Sentinel-2,2025,P10/P90,10,90,0.07618668079376216,0.3436468482017518,0.2674601674079896,18857,18857,3,1886,1886,0.10001590921143343,0.10001590921143343,0.20003181842286685,0.3780649286916023,0.30743323267610223,0.2988333278503468,-12.793914623430748,0.8697083473454194,18857,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-03,landsat,Landsat 8/9,2025,P1/P99,1,99,0.08307182326912874,0.588023054599762,0.5049512313306332,14402,14402,3,145,145,0.010068046104707679,0.010068046104707679,0.020136092209415358,0.20968661556984877,0.17404384057775252,0.1721940635101434,-3.301035143859089,0.9367238144676899,14402,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-03,landsat,Landsat 8/9,2025,P2/P98,2,98,0.09018457934260361,0.5520096147060394,0.4618250353634358,14402,14402,3,289,289,0.020066657408693237,0.020066657408693237,0.040133314817386474,0.22826471872616463,0.1867552093315941,0.18418722886136918,-4.096935675725944,0.9353040482013089,14402,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-03,landsat,Landsat 8/9,2025,P5/P95,5,95,0.1039254389703273,0.4669338107109069,0.3630083717405796,14402,14402,3,721,721,0.05006249132064991,0.05006249132064991,0.10012498264129982,0.2841684781297726,0.22998135841244072,0.225205817369634,-6.899204802384355,0.9211173888567691,14402,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-03,landsat,Landsat 8/9,2025,P10/P90,10,90,0.11780055984854697,0.3753751903772353,0.25757463052868834,14402,14402,3,1441,1441,0.1000555478405777,0.1000555478405777,0.2001110956811554,0.3718688170678216,0.3031804621102222,0.29533750723415797,-12.52729918961864,0.8744178841729807,14402,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-03,modis,MODIS,2025,P1/P99,1,99,0.10157324656844137,0.561350684762001,0.45977743819355965,17860,17860,3,179,179,0.010022396416573348,0.010022396416573348,0.020044792833146696,0.21934072284940936,0.18995053593356045,0.18946377438738654,-3.552454367944451,0.9652768034497318,17860,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-03,modis,MODIS,2025,P2/P98,2,98,0.10932344675064082,0.5248007404804229,0.4154772937297821,17860,17860,3,358,358,0.020044792833146696,0.020044792833146696,0.04008958566629339,0.24086623216981917,0.2050737044210792,0.2040711486299979,-4.489830032537927,0.9634563440282016,17860,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-03,modis,MODIS,2025,P5/P95,5,95,0.12136515900492661,0.44962818175554264,0.32826302275061603,17860,17860,3,893,893,0.05,0.05,0.1,0.3002905502152941,0.2523358520489494,0.2499702892327361,-7.532776925324034,0.9489233322329393,17860,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-03,modis,MODIS,2025,P10/P90,10,90,0.13685405403375625,0.3698565185070038,0.23300246447324754,17860,17860,3,1786,1786,0.1,0.1,0.2,0.3907976013921049,0.3257609010067312,0.3207759886100044,-13.451430528856914,0.9035885063245759,17860,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
