aerosol_mode,AOI,sensor,rolling_id,target_year,history_length,primary_n,primary_target_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_target_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_target_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_target_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,matched_n,retention_fraction,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched,delta_slope_operational,delta_slope_matched,delta_intercept_operational,delta_intercept_matched
primary_no_aerosol_filter,AOI-02,landsat,R2024-H1,2024,1,1542,1542,0.0611533456290388,0.0470908739790961,0.009833169569222746,0.903787324519462,0.9521390822006978,1.0328370889095944,-0.08795051082679384,1542,1542,0.0611533456290388,0.0470908739790961,0.009833169569222746,0.903787324519462,0.9521390822006978,1.0328370889095944,-0.08795051082679384,1542,1542,0.0611533456290388,0.0470908739790961,0.009833169569222746,0.903787324519462,0.9521390822006978,1.0328370889095944,-0.08795051082679384,1542,1542,0.0611533456290388,0.0470908739790961,0.009833169569222746,0.903787324519462,0.9521390822006978,1.0328370889095944,-0.08795051082679384,1542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-02,landsat,R2024-H2,2024,2,1542,1542,0.0604862108418881,0.046837525698680944,-0.0038078728634272376,0.9058750830322841,0.9521390822006973,0.9954864633534535,-0.08236274659659193,1542,1542,0.0604862108418881,0.046837525698680944,-0.0038078728634272376,0.9058750830322841,0.9521390822006973,0.9954864633534535,-0.08236274659659193,1542,1542,0.0604862108418881,0.046837525698680944,-0.0038078728634272376,0.9058750830322841,0.9521390822006973,0.9954864633534535,-0.08236274659659193,1542,1542,0.0604862108418881,0.046837525698680944,-0.0038078728634272376,0.9058750830322841,0.9521390822006973,0.9954864633534535,-0.08236274659659193,1542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-02,landsat,R2024-H3,2024,3,1542,1542,0.061074551110503944,0.047415357864618285,-0.008285236993309299,0.9040350999234452,0.9521390822006975,0.9850451175303495,-0.08146470891879443,1542,1542,0.061074551110503944,0.047415357864618285,-0.008285236993309299,0.9040350999234452,0.9521390822006975,0.9850451175303495,-0.08146470891879443,1542,1542,0.061074551110503944,0.047415357864618285,-0.008285236993309299,0.9040350999234452,0.9521390822006975,0.9850451175303495,-0.08146470891879443,1542,1542,0.061074551110503944,0.047415357864618285,-0.008285236993309299,0.9040350999234452,0.9521390822006975,0.9850451175303495,-0.08146470891879443,1542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-02,landsat,R2025-H1,2025,1,7600,7600,0.058322397534448206,0.04488035725039942,0.014264307424891973,0.8546318277236516,0.9296188720290788,1.0145689898668875,-0.08837891837771922,7600,7600,0.058322397534448206,0.04488035725039942,0.014264307424891973,0.8546318277236516,0.9296188720290788,1.0145689898668875,-0.08837891837771922,7600,7600,0.058322397534448206,0.04488035725039942,0.014264307424891973,0.8546318277236516,0.9296188720290788,1.0145689898668875,-0.08837891837771922,7600,7600,0.058322397534448206,0.04488035725039942,0.014264307424891973,0.8546318277236516,0.9296188720290788,1.0145689898668875,-0.08837891837771922,7600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-02,landsat,R2025-H2,2025,2,7600,7600,0.062195023735876785,0.048449109866970284,0.025602732658025037,0.8346859109573714,0.9296188720290798,1.0243341535316366,-0.0827417245398524,7600,7600,0.062195023735876785,0.048449109866970284,0.025602732658025037,0.8346859109573714,0.9296188720290798,1.0243341535316366,-0.0827417245398524,7600,7600,0.062195023735876785,0.048449109866970284,0.025602732658025037,0.8346859109573714,0.9296188720290798,1.0243341535316366,-0.0827417245398524,7600,7600,0.062195023735876785,0.048449109866970284,0.025602732658025037,0.8346859109573714,0.9296188720290798,1.0243341535316366,-0.0827417245398524,7600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-02,landsat,R2025-H3,2025,3,7600,7600,0.057400593643264226,0.04419814090768831,0.010745809036536647,0.8591906932319451,0.9296188720290789,0.9920488741735304,-0.0787494148457919,7600,7600,0.057400593643264226,0.04419814090768831,0.010745809036536647,0.8591906932319451,0.9296188720290789,0.9920488741735304,-0.0787494148457919,7600,7600,0.057400593643264226,0.04419814090768831,0.010745809036536647,0.8591906932319451,0.9296188720290789,0.9920488741735304,-0.0787494148457919,7600,7600,0.057400593643264226,0.04419814090768831,0.010745809036536647,0.8591906932319451,0.9296188720290789,0.9920488741735304,-0.0787494148457919,7600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-03,landsat,R2024-H1,2024,1,15551,15551,0.03667250528827264,0.028260908685778748,0.016506302140208814,0.8691289484131867,0.9498769568720935,0.9643769491644618,-0.07494910528627224,15551,15551,0.03667250528827264,0.028260908685778748,0.016506302140208814,0.8691289484131867,0.9498769568720935,0.9643769491644618,-0.07494910528627224,15551,15551,0.03667250528827264,0.028260908685778748,0.016506302140208814,0.8691289484131867,0.9498769568720935,0.9643769491644618,-0.07494910528627224,15551,15551,0.03667250528827264,0.028260908685778748,0.016506302140208814,0.8691289484131867,0.9498769568720935,0.9643769491644618,-0.07494910528627224,15551,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-03,landsat,R2024-H2,2024,2,15551,15551,0.03195255354684338,0.022437933788611534,0.002696681561851105,0.9006486952354196,0.949940195959615,0.9190494354718157,-0.07729541703790502,15551,15551,0.03195255354684338,0.022437933788611534,0.002696681561851105,0.9006486952354196,0.949940195959615,0.9190494354718157,-0.07729541703790502,15551,15551,0.03195255354684338,0.022437933788611534,0.002696681561851105,0.9006486952354196,0.949940195959615,0.9190494354718157,-0.07729541703790502,15551,15551,0.03195255354684338,0.022437933788611534,0.002696681561851105,0.9006486952354196,0.949940195959615,0.9190494354718157,-0.07729541703790502,15551,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-03,landsat,R2024-H3,2024,3,15551,15551,0.03228619380570804,0.023028772562915707,0.004881163761884749,0.8985630619681375,0.9499259361101392,0.9247923021402483,-0.07655708736667091,15551,15551,0.03228619380570804,0.023028772562915707,0.004881163761884749,0.8985630619681375,0.9499259361101392,0.9247923021402483,-0.07655708736667091,15551,15551,0.03228619380570804,0.023028772562915707,0.004881163761884749,0.8985630619681375,0.9499259361101392,0.9247923021402483,-0.07655708736667091,15551,15551,0.03228619380570804,0.023028772562915707,0.004881163761884749,0.8985630619681375,0.9499259361101392,0.9247923021402483,-0.07655708736667091,15551,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-03,landsat,R2025-H1,2025,1,14402,14402,0.03596168534123037,0.02694133582425457,0.006985483956223636,0.873493848372493,0.937162382311949,0.8872859532100673,-0.0718219727825205,14402,14402,0.03596168534123037,0.02694133582425457,0.006985483956223636,0.873493848372493,0.937162382311949,0.8872859532100673,-0.0718219727825205,14402,14402,0.03596168534123037,0.02694133582425457,0.006985483956223636,0.873493848372493,0.937162382311949,0.8872859532100673,-0.0718219727825205,14402,14402,0.03596168534123037,0.02694133582425457,0.006985483956223636,0.873493848372493,0.937162382311949,0.8872859532100673,-0.0718219727825205,14402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
