aerosol_mode,AOI,sensor,window,primary_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,matched_n,retention_fraction,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched,delta_slope_operational,delta_slope_matched,delta_intercept_operational,delta_intercept_matched
valid_retrieval_no_high,AOI-03,landsat,W2023,14402,0.042379408695299006,0.03360818044786372,0.022058142171610597,0.8243123002170547,0.9371070493023284,0.9643769491644618,-0.07494910528627224,13217,0.039081725114688215,0.03011200645028016,0.015399843671208542,0.8502031156793168,0.935024682211388,0.880499894433987,-0.06596548102107189,13217,0.03831662862513103,0.030051833894619153,0.01638107175959362,0.856010803470453,0.9400987567281153,0.9285618916874234,-0.0729141798433593,13217,0.039081725114688215,0.03011200645028016,0.015399843671208542,0.8502031156793168,0.935024682211388,0.880499894433987,-0.06596548102107189,13217,0.9177197611442856,-0.0032976835806107913,0.0007650964895571863,-0.003496173997583559,6.017255566100749e-05,-0.006658298500402055,-0.0009812280883850794,-0.0838770547304748,-0.048061997253436406,0.008983624265200357,0.006948698822287408
valid_retrieval_no_high,AOI-03,landsat,W2024,14402,0.03596168534123037,0.02694133582425457,0.006985483956223636,0.873493848372493,0.937162382311949,0.8872859532100673,-0.0718219727825205,13217,0.03684131031847487,0.027399408514672003,0.00864920180410764,0.8668854693498607,0.935065001916403,0.8649386596779334,-0.06896865046471032,13217,0.03517067475979258,0.026512133510441845,0.007226918668725372,0.8786843778345157,0.9401333870179845,0.8862391755457366,-0.07201544650723549,13217,0.03684131031847487,0.027399408514672003,0.00864920180410764,0.8668854693498607,0.935065001916403,0.8649386596779334,-0.06896865046471032,13217,0.9177197611442856,0.0008796249772444961,0.0016706355586822846,0.0004580726904174319,0.0008872750042301578,0.0016637178478840046,0.0014222831353822686,-0.02234729353213394,-0.021300515867803238,0.0028533223178101863,0.0030467960425251683
valid_retrieval_no_high,AOI-03,landsat,W2022_2023,14402,0.03653143446730625,0.02748820007824463,0.00904871756499707,0.8694535631114149,0.9372269641581725,0.9190494354718157,-0.07729541703790502,13217,0.03639751186186834,0.02666826165037099,0.0064499224260846305,0.8700732062364477,0.9351110046592429,0.8703265389610825,-0.07249062983163818,13217,0.034849409621170585,0.025922206279342646,0.00556158956652942,0.8808905609693325,0.9402135113968382,0.9014450814606842,-0.07733249940138778,13217,0.03639751186186834,0.02666826165037099,0.0064499224260846305,0.8700732062364477,0.9351110046592429,0.8703265389610825,-0.07249062983163818,13217,0.9177197611442856,-0.00013392260543790974,0.001548102240697756,-0.000819938427873642,0.0007460553710283424,-0.002598795138912439,0.0008883328595552104,-0.04872289651073325,-0.031118542499601776,0.004804787206266842,0.004841869569749607
valid_retrieval_no_high,AOI-03,landsat,W2023_2024,14402,0.037714332502368594,0.029040264709949404,0.013033995780367407,0.8608624274020507,0.9371285156581729,0.9150460019278217,-0.07232176131147369,13217,0.03741432137006799,0.028152147841803345,0.010756782320116955,0.8627124756975397,0.9350493659568068,0.8692959617038931,-0.0679083379686595,13217,0.03584996945803165,0.02739644797263557,0.010011487096127782,0.8739528852766617,0.9401213527902473,0.8988560587070915,-0.07222702397468592,13217,0.03741432137006799,0.028152147841803345,0.010756782320116955,0.8627124756975397,0.9350493659568068,0.8692959617038931,-0.0679083379686595,13217,0.9177197611442856,-0.00030001113230060383,0.0015643519120363408,-0.0008881168681460598,0.0007556998691677745,-0.0022772134602504525,0.0007452952239891727,-0.04575004022392859,-0.029560097003198393,0.004413423342814193,0.004318686006026418
valid_retrieval_no_high,AOI-03,landsat,W2022_2024,14402,0.03624529886394073,0.02723168908063038,0.00819136911345552,0.8714905865617243,0.9372000064427635,0.906043527373169,-0.07506609062152686,13217,0.03655501583487171,0.026928917197928393,0.007296674680487582,0.8689463015466065,0.9350925494625547,0.8687936445341944,-0.07126504967873196,13217,0.03494955407863673,0.026120045125093395,0.00615994224078396,0.8802050234608843,0.9401782748694647,0.8956616666114239,-0.07534298358539718,13217,0.03655501583487171,0.026928917197928393,0.007296674680487582,0.8689463015466065,0.9350925494625547,0.8687936445341944,-0.07126504967873196,13217,0.9177197611442856,0.000309716970930983,0.0016054617562349799,-0.0003027718827019882,0.0008088720728349971,-0.0008946944329679381,0.0011367324397036213,-0.03724988283897457,-0.026868022077229492,0.0038010409427949032,0.004077933906665221
strict_aerosol,AOI-00,landsat,W2022,20251,0.04860363397715825,0.0390026305283236,-0.008582035576081948,0.7553387468902049,0.8753008071620663,0.9135300192938224,-0.043155574051828016,20158,0.055475284534905876,0.03920708619935411,0.014336726310084844,0.6592814296176017,0.826406345634119,1.234011785480525,-0.2672896316576667,20158,0.04868395876447317,0.038966741462768975,-0.008700554703424714,0.7375971789385485,0.8662069569862696,0.9233974785925133,-0.04986502513317981,20158,0.055475284534905876,0.03920708619935411,0.014336726310084844,0.6592814296176017,0.826406345634119,1.234011785480525,-0.2672896316576667,20158,0.9954076341909042,0.006871650557747626,0.006791325770432705,0.0002044556710305151,0.0002403447365851366,0.022918761886166792,0.023037281013509558,0.32048176618670265,0.3106143068880117,-0.2241340576058387,-0.21742460652448692
strict_aerosol,AOI-00,landsat,W2023,20251,0.047622661005005715,0.038885385163777,-0.0031412794403350413,0.7651151369039467,0.875300807162067,0.8544793879372247,0.0011015203776354454,20158,0.05410337362401593,0.03828049715309579,0.001638284340764666,0.6759250812130324,0.8262386292172186,1.1551313734412114,-0.22569733189890084,20158,0.0475976952465576,0.038894280120694305,-0.0031206231352572545,0.7491762965284772,0.866206956986269,0.850481043802384,0.003785407631965887,20158,0.05410337362401593,0.03828049715309579,0.001638284340764666,0.6759250812130324,0.8262386292172186,1.1551313734412114,-0.22569733189890084,20158,0.9954076341909042,0.006480712619010218,0.006505678377458329,-0.0006048880106812107,-0.0006137829675985154,0.004779563781099707,0.00475890747602192,0.30065198550398675,0.30465032963882743,-0.2267988522765363,-0.22948273953086673
strict_aerosol,AOI-00,landsat,W2024,20251,0.05459148698931992,0.043455352786185134,-0.026620959027305786,0.6913419838552173,0.8753008071620669,0.821342425568143,-0.0005959104544163152,20158,0.0578411170935041,0.04258265786735607,-0.020609499846144318,0.6296007728125247,0.8263968396235137,1.157629710242255,-0.2496712152563645,20158,0.054807921761527885,0.04360756855812125,-0.027144917131461957,0.6674297498623412,0.8662069569862695,0.8223467828968528,-0.0016912430732847206,20158,0.0578411170935041,0.04258265786735607,-0.020609499846144318,0.6296007728125247,0.8263968396235137,1.157629710242255,-0.2496712152563645,20158,0.9954076341909042,0.0032496301041841785,0.003033195331976213,-0.0008726949188290617,-0.001024910690765178,0.006011459181161468,0.006535417285317639,0.33628728467411206,0.3352829273454022,-0.24907530480194817,-0.24797997218307977
strict_aerosol,AOI-00,landsat,W2022_2023,20251,0.04797847843903022,0.03885990272724079,-0.006017645668735735,0.761592093412617,0.8753008071620679,0.8860855093515932,-0.022550811709008967,20158,0.0543083915926074,0.03836485202566797,0.006467391224625686,0.673464344947005,0.8262640948772378,1.1744376129279617,-0.23415527057490104,20158,0.04799117097976002,0.03882593753059062,-0.006081579316149448,0.7450121884616845,0.8662069569862684,0.892584621795025,-0.026932529565862895,20158,0.0543083915926074,0.03836485202566797,0.006467391224625686,0.673464344947005,0.8262640948772378,1.1744376129279617,-0.23415527057490104,20158,0.9954076341909042,0.006329913153577178,0.006317220612847375,-0.0004950507015728176,-0.00046108550492264533,0.012485036893361421,0.012548970540775134,0.2883521035763684,0.2818529911329367,-0.21160445886589208,-0.20722274100903815
strict_aerosol,AOI-00,landsat,W2023_2024,20251,0.04992647284457533,0.04024357008372471,-0.01515288336156512,0.7418396842401004,0.8753008071620647,0.8355955161455583,0.00150303954960318,20158,0.05495243241665619,0.039361640453323514,-0.009801059085852755,0.6656736787545658,0.8263030062358591,1.1554035529611224,-0.23732678673065022,20158,0.0500106280961252,0.04030433923169219,-0.015507222674786334,0.7231010263722005,0.86620695698627,0.8340939506910341,0.0022020759879589624,20158,0.05495243241665619,0.039361640453323514,-0.009801059085852755,0.6656736787545658,0.8263030062358591,1.1554035529611224,-0.23732678673065022,20158,0.9954076341909042,0.005025959572080858,0.004941804320530992,-0.0008819296304011931,-0.0009426987783686738,0.005351824275712366,0.005706163588933579,0.31980803681556413,0.3213096022700883,-0.2388298262802534,-0.23952886271860918
strict_aerosol,AOI-00,landsat,W2022_2024,20251,0.04941579865093187,0.03980078399718749,-0.013564831734708419,0.7470938734763888,0.8753008071620675,0.8574769860461495,-0.011292472868706382,20158,0.054351797321238765,0.038623447369081965,-0.003935445242216311,0.6729421721602598,0.8262329743488965,1.140900812381579,-0.22147782056941345,20158,0.04949342432412206,0.03983338629024452,-0.013939685599097447,0.7287987211391143,0.8662069569862707,0.8597817812378615,-0.013165209553546275,20158,0.054351797321238765,0.038623447369081965,-0.003935445242216311,0.6729421721602598,0.8262329743488965,1.140900812381579,-0.22147782056941345,20158,0.9954076341909042,0.004935998670306897,0.004858372997116708,-0.001177336628105527,-0.0012099389211625566,0.009629386492492106,0.010004240356881137,0.2834238263354294,0.2811190311437174,-0.21018534770070707,-0.20831261101586718
strict_aerosol,AOI-01,landsat,W2022,14738,0.0013951280046526457,0.0005133119633503603,-2.6646491557405317e-05,0.33357066162505355,0.6635350736346491,0.08803757795969219,-0.0046682387840633836,8560,0.0015390452961870685,0.00047635241139762813,-0.00018578509146987058,0.11247691393765502,0.5308131100229809,0.03685887434462647,-0.0019576705917517686,8560,0.0012248119548686639,0.0004958383513632726,-1.2062548659277483e-05,0.43789727822233515,0.7727959539934877,0.08607197904848761,-0.004652697939395059,8560,0.0015390452961870685,0.00047635241139762813,-0.00018578509146987058,0.11247691393765502,0.5308131100229809,0.03685887434462647,-0.0019576705917517686,8560,0.5808115076672548,0.00014391729153442282,0.00031423334131840466,-3.69595519527322e-05,-1.9485939965644512e-05,-0.00015913859991246527,-0.0001737225428105931,-0.05117870361506572,-0.04921310470386114,0.002710568192311615,0.0026950273476432905
