Sensor,AOI,sensor,history,train_years,slope,intercept,train_n,training_FCOVER_mean,n,RMSE,MAE,Bias,R2,Pearson_r,fraction_raw_lt_0,fraction_raw_gt_1,fraction_clipped,raw_prediction_mean,clipped_prediction_mean,prediction_variance_raw,prediction_variance_clipped,unclipped_RMSE,unclipped_MAE,unclipped_Bias,unclipped_R2,unclipped_Pearson_r,clipped_RMSE,clipped_MAE,clipped_Bias,clipped_R2,clipped_Pearson_r,delta_RMSE_clipping
Landsat 8/9,AOI-02,landsat,W2023,2023,1.03283708891,-0.0879505108268,2686,0.563848102199,7600,0.062223789108,0.0484373797049,0.0253582463862,0.83453295914,0.929618872029,0,0,0,0.515054563092,0.515054563092,0.0223022017614,0.0223022017614,0.062223789108,0.0484373797049,0.0253582463862,0.83453295914,0.929618872029,0.062223789108,0.0484373797049,0.0253582463862,0.83453295914,0.929618872029,0
Landsat 8/9,AOI-02,landsat,W2024,2024,1.01456898987,-0.0883789183777,1542,0.43394033764,7600,0.0583223975344,0.0448803572504,0.0142643074249,0.854631827724,0.929618872029,0,0,0,0.50396062413,0.50396062413,0.0215202473457,0.0215202473457,0.0583223975344,0.0448803572504,0.0142643074249,0.854631827724,0.929618872029,0.0583223975344,0.0448803572504,0.0142643074249,0.854631827724,0.929618872029,0
Landsat 8/9,AOI-02,landsat,W2022_2023,2022;2023,0.995486463353,-0.0823627465966,10105,0.527008016656,7600,0.0571346197443,0.0439498844081,0.00913945761187,0.860492590278,0.929618872029,0,0,0,0.498835774317,0.498835774317,0.020718332961,0.020718332961,0.0571346197443,0.0439498844081,0.00913945761187,0.860492590278,0.929618872029,0.0571346197443,0.0439498844081,0.00913945761187,0.860492590278,0.929618872029,0
Landsat 8/9,AOI-02,landsat,W2023_2024,2023;2024,1.02433415353,-0.0827417245399,3407,0.549363076873,7600,0.0621950237359,0.048449109867,0.025602732658,0.834685910957,0.929618872029,0,0,0,0.515299049363,0.515299049363,0.0219365030638,0.0219365030638,0.0621950237359,0.048449109867,0.025602732658,0.834685910957,0.929618872029,0.0621950237359,0.048449109867,0.025602732658,0.834685910957,0.929618872029,0
Landsat 8/9,AOI-02,landsat,W2022_2024,2022;2023;2024,0.992048874174,-0.0787494148458,10599,0.527840363116,7600,0.0574005936433,0.0441981409077,0.0107458090365,0.859190693232,0.929618872029,0,0,0,0.500442125742,0.500442125742,0.0205754919474,0.0205754919474,0.0574005936433,0.0441981409077,0.0107458090365,0.859190693232,0.929618872029,0.0574005936433,0.0441981409077,0.0107458090365,0.859190693232,0.929618872029,0
MODIS,AOI-02,modis,W2022,2022,1.07868187877,-0.132341879452,18558,0.465856450909,16568,0.0542100339992,0.0425390992415,0.0254507607189,0.896224598126,0.958767551298,0.000241429261226,0,0.000241429261226,0.511556695043,0.511557473256,0.0266710895606,0.0266702896382,0.0542102900166,0.0425398774543,0.0254499825061,0.896223617925,0.958766501193,0.0542100339992,0.0425390992415,0.0254507607189,0.896224598126,0.958767551298,2.56017404381e-07
MODIS,AOI-02,modis,W2023,2023,1.0997951924,-0.167515546114,9553,0.551522245186,16568,0.048153280025,0.036995692619,0.00293032743179,0.91811830682,0.958805308505,0.00392322549493,0,0.00392322549493,0.488986218271,0.489037039969,0.0277253875645,0.027674640787,0.0481888833931,0.0370465143164,0.00287950573435,0.917997179378,0.958766501193,0.048153280025,0.036995692619,0.00293032743179,0.91811830682,0.958805308505,3.56033681937e-05
MODIS,AOI-02,modis,W2024,2024,1.07916660781,-0.13168707626,17909,0.52300854375,16568,0.054662398712,0.0429658917081,0.026394741574,0.894485429423,0.958767327794,0.000241429261226,0,0.000241429261226,0.512500847995,0.512501454111,0.0266950654091,0.0266944414027,0.0546625932174,0.042966497824,0.0263941354581,0.894484678515,0.958766501193,0.054662398712,0.0429658917081,0.026394741574,0.894485429423,0.958767327794,1.94505435591e-07
MODIS,AOI-02,modis,W2022_2023,2022;2023,1.06309273167,-0.130398741844,27583,0.49701714911,16568,0.0511316663191,0.0397297572374,0.0180882356733,0.907675926784,0.958767541693,0.000241429261226,0,0.000241429261226,0.504194188615,0.50419494821,0.0259057571369,0.0259049876005,0.0511319305467,0.0397305168331,0.0180874760777,0.907674972595,0.958766501193,0.0511316663191,0.0397297572374,0.0180882356733,0.907675926784,0.958767541693,2.64227653972e-07
MODIS,AOI-02,modis,W2023_2024,2023;2024,1.07518045823,-0.137210889227,27078,0.534291602715,16568,0.0512937233724,0.0398099263375,0.0184934461397,0.907089774276,0.958769839351,0.000422501207146,0,0.000422501207146,0.504597579057,0.504600158677,0.026498220923,0.0264955969429,0.0512948018816,0.0398125059575,0.0184908665197,0.907085867148,0.958766501193,0.0512937233724,0.0398099263375,0.0184934461397,0.907089774276,0.958769839351,1.07850916407e-06
MODIS,AOI-02,modis,W2022_2024,2022;2023;2024,1.07121915119,-0.132031643895,45108,0.507849606144,16568,0.0523618717323,0.0408374155591,0.0213064041491,0.903179930617,0.958767738635,0.000241429261226,0,0.000241429261226,0.507412197707,0.507413116686,0.0263033248549,0.0263023875567,0.052362189146,0.0408383345385,0.0213054851697,0.903178756782,0.958766501193,0.0523618717323,0.0408374155591,0.0213064041491,0.903179930617,0.958767738635,3.17413626764e-07
Sentinel-2,AOI-03,sentinel2,W2022,2022,0.8372042918,-0.0373421478103,19267,0.129490216819,18857,0.0395187606542,0.0273586069031,-0.00205301105176,0.849283297898,0.922114969878,0.0114546322321,0,0.0114546322321,0.129645675302,0.12975226055,0.00837599517345,0.00834666356632,0.0395853346087,0.0274651921515,-0.0021595963002,0.848775070501,0.921814669773,0.0395187606542,0.0273586069031,-0.00205301105176,0.849283297898,0.922114969878,6.65739545063e-05
