model,Sensor,AOI,sensor,configuration,history,n,fraction_raw_lt_0,fraction_raw_gt_1,fraction_clipped,raw_prediction_mean,clipped_prediction_mean,prediction_variance_raw,prediction_variance_clipped,unclipped_RMSE,unclipped_MAE,unclipped_Bias,unclipped_R2,unclipped_Pearson_r,clipped_RMSE,clipped_MAE,clipped_Bias,clipped_R2,clipped_Pearson_r,delta_RMSE_clipping
DPM,Landsat 8/9,AOI-02,landsat,P10/P90,NA,7600,0.1,0.0998684210526,0.199868421053,0.591702442328,0.618720527868,0.164976677493,0.0976306986188,0.288554814615,0.241771076151,0.102006125623,-2.55840390813,0.929618872029,0.229136647429,0.198197914239,0.129024211163,-1.24381838165,0.891006601955,0.0594181671862
DPM,MODIS,AOI-02,modis,P1/P99,NA,16568,0.0100193143409,0.0100193143409,0.0200386286818,0.669399300328,0.669442075988,0.0566217406826,0.0561089751521,0.204334873866,0.186789548298,0.183292587791,-0.474416059735,0.958766501193,0.203979151146,0.186309861706,0.183335363451,-0.469286962102,0.958724213929,0.000355722719565
DPM,MODIS,AOI-02,modis,P2/P98,NA,16568,0.0200386286818,0.0200386286818,0.0400772573636,0.673449873363,0.673652953552,0.062877324562,0.0614507556054,0.213023909098,0.194090152093,0.187343160826,-0.602476850743,0.958766501193,0.212057413167,0.1928017563,0.187546241016,-0.587968865089,0.958569453134,0.000966495931196
DPM,MODIS,AOI-02,modis,P5/P95,NA,16568,0.0500362143892,0.0500362143892,0.100072428778,0.662809217309,0.665714717104,0.0833522885976,0.0748762766987,0.223009486142,0.202057021243,0.176702504772,-0.756231403382,0.958766501193,0.217684959436,0.195292314354,0.179608004567,-0.673369739268,0.956262793781,0.00532452670615
DPM,MODIS,AOI-02,modis,P10/P90,NA,16568,0.100012071463,0.100012071463,0.200024142926,0.613275997807,0.632623552099,0.146904279852,0.0986994260824,0.260223819705,0.227829251221,0.12716928527,-1.39127299501,0.958766501193,0.22160024834,0.19441980429,0.146516839562,-0.734105637321,0.939876706111,0.0386235713652
DPM,Sentinel-2,AOI-03,sentinel2,P1/P99,NA,18857,0.0100228032031,0.0100228032031,0.0200456064061,0.301668756321,0.301058048384,0.0443359343319,0.0429520207273,0.209846298508,0.173030509004,0.169863484719,-3.24969122581,0.921814669773,0.207473110303,0.172002871086,0.169252776782,-3.15411375923,0.922312031353,0.00237318820504
DPM,Sentinel-2,AOI-03,sentinel2,P2/P98,NA,18857,0.0200456064061,0.0199925757013,0.0400381821074,0.32306771221,0.320964399064,0.056609575149,0.0522394499207,0.242695093652,0.19582831129,0.191262440607,-4.68429676507,0.921814669773,0.235718274602,0.192738063104,0.189159127462,-4.36217837789,0.920217065559,0.0069768190492
DPM,Sentinel-2,AOI-03,sentinel2,P5/P95,NA,18857,0.0500079546057,0.0499549239009,0.0999628785067,0.382612456093,0.372256788411,0.0946667673689,0.0734822634418,0.331949735757,0.259982936429,0.250807184491,-9.63406730266,0.921814669773,0.302940370423,0.245983035305,0.240451516809,-7.85664126947,0.903972887674,0.0290093653343
DPM,Sentinel-2,AOI-03,sentinel2,P10/P90,NA,18857,0.100015909211,0.100015909211,0.200031818423,0.460899249887,0.430638599453,0.167053393466,0.0989736507198,0.457179660641,0.349570580313,0.329093978285,-19.1710521375,0.921814669773,0.378064928692,0.307433232676,0.29883332785,-12.7939146234,0.869708347345,0.0791147319498
DPM,Landsat 8/9,AOI-03,landsat,P1/P99,NA,14402,0.0100680461047,0.0100680461047,0.0201360922094,0.303419083368,0.303125601136,0.0446208355566,0.0436859181222,0.211134489717,0.17480814003,0.172487545743,-3.36063701542,0.936849781078,0.20968661557,0.174043840578,0.17219406351,-3.30103514386,0.936723814468,0.0014478741469
