AOI,sensor,rolling_id,target_year,history_length,primary_n,primary_target_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_target_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_target_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_target_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched
AOI-00,modis,R2025-H2,2025,2,18641,18641,0.0423814986103728,0.0330424066343567,-0.0055904452425919,0.8116694455252969,0.9039382033914632,0.9231765083984462,-0.0700594549969086,18641,18641,0.0420503958144471,0.032780085062052,-0.0051056056681914,0.8146005921810124,0.9052986650997878,0.9398629021783116,-0.0815070977857462,18641,18641,0.0423814986103728,0.0330424066343567,-0.0055904452425919,0.8116694455252969,0.9039382033914632,0.9231765083984462,-0.0700594549969086,18641,18641,0.0420503958144471,0.032780085062052,-0.0051056056681914,0.8146005921810124,0.9052986650997878,0.9398629021783116,-0.0815070977857462,-0.00033110279592570013,-0.00033110279592570013,-0.00026232157230469955,-0.00026232157230469955,0.0004848395744005002,0.0004848395744005002
AOI-00,modis,R2025-H3,2025,3,18641,18641,0.0423813599278264,0.0329399323498866,-0.0065957525893229,0.811670678049817,0.903938203391462,0.9413932783163944,-0.0834524032073679,18641,18641,0.0420286000188865,0.0326838169005891,-0.0060424308406088,0.8147927368804182,0.9052986650997884,0.9579429954111988,-0.0947498854592819,18641,18641,0.0423813599278264,0.0329399323498866,-0.0065957525893229,0.811670678049817,0.903938203391462,0.9413932783163944,-0.0834524032073679,18641,18641,0.0420286000188865,0.0326838169005891,-0.0060424308406088,0.8147927368804182,0.9052986650997884,0.9579429954111988,-0.0947498854592819,-0.00035275990893989667,-0.00035275990893989667,-0.00025611544929749624,-0.00025611544929749624,0.0005533217487141001,0.0005533217487141001
AOI-00,sentinel2,R2024-H1,2024,1,8101,8101,0.0639527993636913,0.0504870588248307,0.0065738078385262,0.5266355099523556,0.7400748336675737,0.6734580700077741,0.1333545988857463,8101,8101,0.0641258762644814,0.0503142048629475,0.003974695200044,0.5240698889908267,0.7410141728332665,0.7106135662882743,0.1071937258131865,8101,8101,0.0639527993636913,0.0504870588248307,0.0065738078385262,0.5266355099523556,0.7400748336675737,0.6734580700077741,0.1333545988857463,8101,8101,0.0641258762644814,0.0503142048629475,0.003974695200044,0.5240698889908267,0.7410141728332665,0.7106135662882743,0.1071937258131865,0.00017307690079008953,0.00017307690079008953,-0.00017285396188319868,-0.00017285396188319868,-0.0025991126384822,-0.0025991126384822
AOI-00,sentinel2,R2024-H2,2024,2,8101,8101,0.0638539209006433,0.0505515394288713,0.0093999981186249,0.5280981314572554,0.7400577505649322,0.6499712055659811,0.1496767472984079,8101,8101,0.0637772419388558,0.0503707464418795,0.0082188357634002,0.5292308173908662,0.7410141728332648,0.6767744154563294,0.1309842062740146,8101,8101,0.0638539209006433,0.0505515394288713,0.0093999981186249,0.5280981314572554,0.7400577505649322,0.6499712055659811,0.1496767472984079,8101,8101,0.0637772419388558,0.0503707464418795,0.0082188357634002,0.5292308173908662,0.7410141728332648,0.6767744154563294,0.1309842062740146,-7.667896178750744e-05,-7.667896178750744e-05,-0.00018079298699179985,-0.00018079298699179985,-0.0011811623552246998,-0.0011811623552246998
AOI-00,sentinel2,R2024-H3,2024,3,8101,8101,0.067040609042033,0.0534111403032675,0.0239037622902255,0.4798214266376537,0.7400543095622985,0.6070790039874876,0.1888226104821586,8101,8101,0.066981577714783,0.0533826776396125,0.0241354935297342,0.4807370899311184,0.7410141728332653,0.613895348956057,0.1832213855674374,8101,8101,0.067040609042033,0.0534111403032675,0.0239037622902255,0.4798214266376537,0.7400543095622985,0.6070790039874876,0.1888226104821586,8101,8101,0.066981577714783,0.0533826776396125,0.0241354935297342,0.4807370899311184,0.7410141728332653,0.613895348956057,0.1832213855674374,-5.903132725000593e-05,-5.903132725000593e-05,-2.8462663654998943e-05,-2.8462663654998943e-05,0.00023173123950869998,0.00023173123950869998
AOI-00,sentinel2,R2025-H1,2025,1,12809,12809,0.0798319825140218,0.0662292313325491,-0.0458787664269048,0.364210738573093,0.7578994922621423,0.5747983935698915,0.1834641367347267,12809,12809,0.0803096868823878,0.0662343953045871,-0.0457615163246632,0.3565790098676925,0.7520066451494011,0.5894438297543644,0.1732097011042906,12809,12809,0.0798319825140218,0.0662292313325491,-0.0458787664269048,0.364210738573093,0.7578994922621423,0.5747983935698915,0.1834641367347267,12809,12809,0.0803096868823878,0.0662343953045871,-0.0457615163246632,0.3565790098676925,0.7520066451494011,0.5894438297543644,0.1732097011042906,0.0004777043683660137,0.0004777043683660137,5.1639720379942355e-06,5.1639720379942355e-06,0.00011725010224159643,0.00011725010224159643
AOI-00,sentinel2,R2025-H2,2025,2,12809,12809,0.0770719252230506,0.0633704849612775,-0.0402972454217138,0.4074134710845062,0.7579674240266432,0.6419852770970093,0.1496116379591073,12809,12809,0.0784977970256051,0.0640145246323639,-0.0414078292381962,0.3852843117218638,0.7520214652206122,0.6692489235282891,0.1304890004425153,12809,12809,0.0770719252230506,0.0633704849612775,-0.0402972454217138,0.4074134710845062,0.7579674240266432,0.6419852770970093,0.1496116379591073,12809,12809,0.0784977970256051,0.0640145246323639,-0.0414078292381962,0.3852843117218638,0.7520214652206122,0.6692489235282891,0.1304890004425153,0.0014258718025544903,0.0014258718025544903,0.0006440396710863938,0.0006440396710863938,-0.0011105838164824008,-0.0011105838164824008
AOI-00,sentinel2,R2025-H3,2025,3,12809,12809,0.0759227317183154,0.0624263001271205,-0.0382905963255622,0.4249534386598284,0.7579578034819726,0.6309323729346593,0.1581060285129427,12809,12809,0.0769599017913728,0.0627945218735746,-0.0388472686337642,0.4091348587971481,0.7520167756040603,0.6537959308109776,0.1421656915966449,12809,12809,0.0759227317183154,0.0624263001271205,-0.0382905963255622,0.4249534386598284,0.7579578034819726,0.6309323729346593,0.1581060285129427,12809,12809,0.0769599017913728,0.0627945218735746,-0.0388472686337642,0.4091348587971481,0.7520167756040603,0.6537959308109776,0.1421656915966449,0.0010371700730573974,0.0010371700730573974,0.0003682217464540949,0.0003682217464540949,-0.0005566723082019998,-0.0005566723082019998
AOI-01,landsat,R2024-H1,2024,1,10862,10862,0.0011966216384227,0.0004665693732839,0.0001854765924289,0.3919945385014522,0.6814302846675994,0.0994232599591229,-0.0051166972303759,10862,10862,0.0012274038391578,0.0004701917639059,0.0001768864512606,0.3603112229519174,0.6603353239540137,0.0976640385547314,-0.0050289678751958,10862,10862,0.0011966216384227,0.0004665693732839,0.0001854765924289,0.3919945385014522,0.6814302846675994,0.0994232599591229,-0.0051166972303759,10862,10862,0.0012274038391578,0.0004701917639059,0.0001768864512606,0.3603112229519174,0.6603353239540137,0.0976640385547314,-0.0050289678751958,3.0782200735100015e-05,3.0782200735100015e-05,3.62239062199997e-06,3.62239062199997e-06,-8.590141168300002e-06,-8.590141168300002e-06
AOI-01,landsat,R2024-H2,2024,2,10862,10862,0.001203393337067,0.0004439769653025,0.000151213000998,0.3850936445893154,0.6846400506747056,0.0936881738006664,-0.0048392043090577,10862,10862,0.0012333822402864,0.0004454556559586,0.0001408061319663,0.3540644936109105,0.6646762638334444,0.0920375263056849,-0.0047608131030799,10862,10862,0.001203393337067,0.0004439769653025,0.000151213000998,0.3850936445893154,0.6846400506747056,0.0936881738006664,-0.0048392043090577,10862,10862,0.0012333822402864,0.0004454556559586,0.0001408061319663,0.3540644936109105,0.6646762638334444,0.0920375263056849,-0.0047608131030799,2.9988903219399987e-05,2.9988903219399987e-05,1.4786906560999803e-06,1.4786906560999803e-06,-1.0406869031700004e-05,-1.0406869031700004e-05
