AOI,sensor,window,primary_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched
AOI-00,sentinel2,W2024,12809,0.0798319825140218,0.0662292313325491,-0.0458787664269048,0.364210738573093,0.7578994922621423,0.5747983935698915,0.1834641367347267,12809,0.0803096868823878,0.0662343953045871,-0.0457615163246632,0.3565790098676925,0.7520066451494011,0.5894438297543644,0.1732097011042906,12809,0.0798319825140218,0.0662292313325491,-0.0458787664269048,0.364210738573093,0.7578994922621423,0.5747983935698915,0.1834641367347267,12809,0.0803096868823878,0.0662343953045871,-0.0457615163246632,0.3565790098676925,0.7520066451494011,0.5894438297543644,0.1732097011042906,0.0004777043683660137,0.0004777043683660137,5.1639720379942355e-06,5.1639720379942355e-06,0.00011725010224159643,0.00011725010224159643
AOI-00,sentinel2,W2022_2023,12809,0.0748030360390739,0.0612845656492012,-0.0355455908798914,0.4417897468291138,0.7579687421506721,0.6499712055659811,0.1496767472984079,12809,0.076137056288222,0.0618652754116882,-0.0364737587839994,0.4217022235777393,0.7520219023121641,0.6767744154563294,0.1309842062740146,12809,0.0748030360390739,0.0612845656492012,-0.0355455908798914,0.4417897468291138,0.7579687421506721,0.6499712055659811,0.1496767472984079,12809,0.076137056288222,0.0618652754116882,-0.0364737587839994,0.4217022235777393,0.7520219023121641,0.6767744154563294,0.1309842062740146,0.0013340202491480962,0.0013340202491480962,0.0005807097624870028,0.0005807097624870028,-0.0009281679041080043,-0.0009281679041080043
AOI-00,sentinel2,W2023_2024,12809,0.0770719252230506,0.0633704849612775,-0.0402972454217138,0.4074134710845062,0.7579674240266432,0.6419852770970093,0.1496116379591073,12809,0.0784977970256051,0.0640145246323639,-0.0414078292381962,0.3852843117218638,0.7520214652206122,0.6692489235282891,0.1304890004425153,12809,0.0770719252230506,0.0633704849612775,-0.0402972454217138,0.4074134710845062,0.7579674240266432,0.6419852770970093,0.1496116379591073,12809,0.0784977970256051,0.0640145246323639,-0.0414078292381962,0.3852843117218638,0.7520214652206122,0.6692489235282891,0.1304890004425153,0.0014258718025544903,0.0014258718025544903,0.0006440396710863938,0.0006440396710863938,-0.0011105838164824008,-0.0011105838164824008
AOI-00,sentinel2,W2022_2024,12809,0.0759227317183154,0.0624263001271205,-0.0382905963255622,0.4249534386598284,0.7579578034819726,0.6309323729346593,0.1581060285129427,12809,0.0769599017913728,0.0627945218735746,-0.0388472686337642,0.4091348587971481,0.7520167756040603,0.6537959308109776,0.1421656915966449,12809,0.0759227317183154,0.0624263001271205,-0.0382905963255622,0.4249534386598284,0.7579578034819726,0.6309323729346593,0.1581060285129427,12809,0.0769599017913728,0.0627945218735746,-0.0388472686337642,0.4091348587971481,0.7520167756040603,0.6537959308109776,0.1421656915966449,0.0010371700730573974,0.0010371700730573974,0.0003682217464540949,0.0003682217464540949,-0.0005566723082019998,-0.0005566723082019998
AOI-01,landsat,W2022,9601,0.0012424284297672,0.0005031351925982,5.742505955217569e-05,0.3999511273373355,0.7203625341946122,0.08433016624625,-0.0043819013137131,9601,0.001264456435044,0.0005011553262367,4.332049331966392e-05,0.3784850137429116,0.712100870284737,0.0827114931048602,-0.0043096858318215,9601,0.0012424284297672,0.0005031351925982,5.742505955217569e-05,0.3999511273373355,0.7203625341946122,0.08433016624625,-0.0043819013137131,9601,0.001264456435044,0.0005011553262367,4.332049331966392e-05,0.3784850137429116,0.712100870284737,0.0827114931048602,-0.0043096858318215,2.202800527679994e-05,2.202800527679994e-05,-1.9798663615000532e-06,-1.9798663615000532e-06,-1.4104566232511771e-05,-1.4104566232511771e-05
AOI-01,landsat,W2023,9601,0.0012098680224037,0.000557630174531,0.0001593946556148,0.4309900517005192,0.7134506875280094,0.0994232599591229,-0.0051166972303759,9601,0.0012321844502724,0.0005608791697014,0.0001500790276851,0.4098052923981908,0.7029655932459508,0.0976640385547314,-0.0050289678751958,9601,0.0012098680224037,0.000557630174531,0.0001593946556148,0.4309900517005192,0.7134506875280094,0.0994232599591229,-0.0051166972303759,9601,0.0012321844502724,0.0005608791697014,0.0001500790276851,0.4098052923981908,0.7029655932459508,0.0976640385547314,-0.0050289678751958,2.2316427868699978e-05,2.2316427868699978e-05,3.2489951703999374e-06,3.2489951703999374e-06,-9.315627929700019e-06,-9.315627929700019e-06
AOI-01,landsat,W2024,9601,0.0012350993319251,0.0005652125927523,0.0001485423577904,0.4070096353521019,0.7054465839794869,0.0903293640169575,-0.0045959835248868,9601,0.0012556398602863,0.0005691589490301,0.0001423074911904,0.3871219734456954,0.6944344282887936,0.0892204448293308,-0.0045421004689355,9601,0.0012350993319251,0.0005652125927523,0.0001485423577904,0.4070096353521019,0.7054465839794869,0.0903293640169575,-0.0045959835248868,9601,0.0012556398602863,0.0005691589490301,0.0001423074911904,0.3871219734456954,0.6944344282887936,0.0892204448293308,-0.0045421004689355,2.0540528361199942e-05,2.0540528361199942e-05,3.94635627780002e-06,3.94635627780002e-06,-6.234866599999993e-06,-6.234866599999993e-06
AOI-01,landsat,W2022_2023,9601,0.0012197323830697,0.0005359453060655,0.000119446646195,0.421673661771451,0.7160638775658889,0.0936881738006664,-0.0048392043090577,9601,0.0012417635680885,0.0005369583353152,0.0001081333409145,0.4005931647313958,0.7064408444459387,0.0920375263056849,-0.0047608131030799,9601,0.0012197323830697,0.0005359453060655,0.000119446646195,0.421673661771451,0.7160638775658889,0.0936881738006664,-0.0048392043090577,9601,0.0012417635680885,0.0005369583353152,0.0001081333409145,0.4005931647313958,0.7064408444459387,0.0920375263056849,-0.0047608131030799,2.2031185018800024e-05,2.2031185018800024e-05,1.013029249700005e-06,1.013029249700005e-06,-1.1313305280499994e-05,-1.1313305280499994e-05
AOI-01,landsat,W2023_2024,9601,0.0012197222847369,0.0005606587153263,0.000155080683469,0.4216832378190176,0.7103775184797825,0.0957831525544123,-0.0049079845901227,9601,0.0012414301351887,0.0005641872999483,0.0001469742176593,0.4009150216957847,0.6996594136003649,0.0942731014850666,-0.0048331782287208,9601,0.0012197222847369,0.0005606587153263,0.000155080683469,0.4216832378190176,0.7103775184797825,0.0957831525544123,-0.0049079845901227,9601,0.0012414301351887,0.0005641872999483,0.0001469742176593,0.4009150216957847,0.6996594136003649,0.0942731014850666,-0.0048331782287208,2.170785045180006e-05,2.170785045180006e-05,3.528584621999937e-06,3.528584621999937e-06,-8.106465809699996e-06,-8.106465809699996e-06
AOI-01,landsat,W2022_2024,9601,0.0012242071713751,0.0005445588729091,0.0001280504410593,0.4174225079664491,0.712916071686131,0.0926895168702124,-0.0047665717799453,9601,0.0012458198287986,0.0005464311657156,0.0001181919137019,0.3966708054352613,0.7028450135955605,0.0911799838810393,-0.004694343806678,9601,0.0012242071713751,0.0005445588729091,0.0001280504410593,0.4174225079664491,0.712916071686131,0.0926895168702124,-0.0047665717799453,9601,0.0012458198287986,0.0005464311657156,0.0001181919137019,0.3966708054352613,0.7028450135955605,0.0911799838810393,-0.004694343806678,2.1612657423500034e-05,2.1612657423500034e-05,1.8722928064999513e-06,1.8722928064999513e-06,-9.858527357400003e-06,-9.858527357400003e-06
