sensitivity_name,variant,sensor,AOI,primary_n,sensitivity_n,matched_n,retention_fraction,primary_RMSE,sensitivity_RMSE,delta_RMSE_operational,primary_matched_RMSE,sensitivity_matched_RMSE,delta_RMSE_matched,delta_MAE,delta_Bias,delta_slope,delta_intercept,primary_history,sensitivity_history,history_changed,rolling_origin_direction_changed,block_contrast_direction_changes,delta_NDVI_mean,delta_NDVI_abs_mean,delta_NDVI_abs_max,validation_status
landsat_aerosol_qa,strict_aerosol,landsat,AOI-00,20251,20158,20158,0.9954076341909042,0.0476226610050057,0.0541033736240159,0.0064807126190102,0.0475976952465576,0.0541033736240159,0.0065056783774583,-0.0006048880106812,0.0047795637810997,0.3006519855039867,-0.2267988522765363,W2023,W2023,False,True,2,,,,PASS
landsat_aerosol_qa,strict_aerosol,landsat,AOI-01,14738,8560,8560,0.5808115076672548,0.0013556186888521,0.0014702593291553,0.0001146406403031,0.0011638785151734,0.0014702593291553,0.0003063808139818,-1.720479043585473e-05,-0.0001299353061635,-0.0475713972502954,0.0024685663035463,W2023,W2024,True,True,1,,,,PASS
landsat_aerosol_qa,strict_aerosol,landsat,AOI-02,7600,3006,3006,0.3955263157894736,0.0564231055150082,0.0834588690818195,0.0270357635668113,0.0494626553554144,0.0834588690818195,0.0339962137264051,0.0181402164943398,0.024457544650651,-0.0177028659701251,-0.0334348124421932,W2022,W2024,True,True,3,,,,PASS
landsat_aerosol_qa,strict_aerosol,landsat,AOI-03,14402,11693,11693,0.8119011248437717,0.0352532708179777,0.0379623102811692,0.0027090394631915,0.0329349055820498,0.0379623102811692,0.0050274046991194,0.0010251294612568,0.004120278500995,-0.0798477713864315,0.0146576715151889,W2022,W2022,False,True,1,,,,PASS
landsat_aerosol_qa,valid_retrieval_no_high,landsat,AOI-00,20251,20220,20220,0.998469211396968,0.0476226610050057,0.0482072928472212,0.0005846318422155,0.0476323616193511,0.0482072928472212,0.0005749312278701,-0.0021106296379981,0.0027301414114683,0.2267787077620958,-0.1635280815708424,W2023,W2023,False,False,1,,,,PASS
landsat_aerosol_qa,valid_retrieval_no_high,landsat,AOI-01,14738,9498,9498,0.6444565069887366,0.0013556186888521,0.0012501862299808,-0.0001054324588713,0.0011698394708549,0.0012501862299808,8.0346759125903e-05,1.635574536611303e-05,1.6175344471506034e-05,-0.0164214925341607,0.0008521558836231,W2023,W2023,False,True,0,,,,PASS
landsat_aerosol_qa,valid_retrieval_no_high,landsat,AOI-02,7600,4584,4584,0.6031578947368421,0.0564231055150082,0.0787328556343351,0.0223097501193268,0.0504553460362259,0.0787328556343351,0.0282775095981091,0.0131657177042943,0.0269603556929635,0.0185634984291542,-0.0346646000319165,W2022,W2024,True,True,4,,,,PASS
landsat_aerosol_qa,valid_retrieval_no_high,landsat,AOI-03,14402,13217,13217,0.9177197611442856,0.0352532708179777,0.0358615006423201,0.0006082298243424,0.0344020344004618,0.0358615006423201,0.0014594662418583,0.0003678818467258,0.0024175498810395,-0.0182034033536779,0.0026725505434613,W2022,W2022,False,True,1,,,,PASS
non_overlapping_temporal,nearest_nominal_nonoverlap,landsat,AOI-00,20251,20017,20017,0.9884450150609846,0.0476226610050057,0.0500402703789647,0.0024176093739589,0.0475372634754631,0.0500402703789647,0.0025030069035015,0.0019977532795147,-0.0056909000285488,0.0068511705053406,-0.0032540737436748,W2023,W2022,True,False,1,,,,PASS
non_overlapping_temporal,nearest_nominal_nonoverlap,landsat,AOI-01,14738,9601,9601,0.6514452435880038,0.0013556186888521,0.0012098680224037,-0.0001457506664483,0.0011863664682869,0.0012098680224037,2.350155411679996e-05,-4.375697019349991e-05,2.6314319608300023e-05,-0.0101169520689042,0.0005689054112231,W2023,W2023,False,False,0,,,,PASS
non_overlapping_temporal,nearest_nominal_nonoverlap,landsat,AOI-02,7600,1735,1735,0.2282894736842105,0.0564231055150082,0.0578903638243602,0.001467258309352,0.0560061172004847,0.0578903638243602,0.0018842466238754,0.0011944743972064,0.0076981675084898,-0.0141532382821261,0.0095459808918461,W2022,W2022_2023,True,True,1,,,,PASS
non_overlapping_temporal,nearest_nominal_nonoverlap,landsat,AOI-03,14402,9322,9322,0.6472712123316207,0.0352532708179777,0.0367796409806039,0.0015263701626261,0.0359427689005886,0.0367796409806039,0.0008368720800153,0.0023556594442382,0.0073758549230631,0.023583871069494,-0.0022124897710631,W2022,W2022,False,False,1,,,,PASS
